timestamp_s,frame_idx,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_8,display_9
16.500,396,221.66,0.08,221.60,0.00,0.00,0.18,1.973,0.007,0.014
16.708,401,221.77,0.08,221.73,0.00,0.00,0.26,1.979,0.007,0.014
16.917,406,221.77,0.08,221.73,0.00,0.00,0.26,11.979,0.007,0.014
17.125,411,221.78,0.07,221.73,0.00,0.00,0.07,1.980,0.007,0.014
17.333,416,221.78,0.07,221.73,0.00,0.00,0.07,11.980,0.007,0.014
17.541,421,221.78,0.03,221.75,0.00,0.00,0.07,1.980,0.007,0.014
17.750,426,221.70,0.08,221.66,0.00,0.00,0.25,11.980,0.007,0.015
18.167,436,221.50,0.08,221.45,0.00,0.00,0.07,1.969,0.007,0.014
18.583,446,221.53,0.08,221.49,0.00,0.00,0.18,11.970,0.007,0.015
19.000,456,221.53,0.08,221.49,0.00,0.00,0.18,1.970,0.007,0.015
19.208,461,221.61,0.07,221.57,0.00,0.00,0.16,.972,0.007,0.015
19.417,466,221.61,0.07,221.57,0.00,0.00,0.16,1.972,0.007,0.015
19.625,471,221.64,0.08,221.58,0.00,0.00,0.14,11.971,0.007,0.014
19.833,476,221.64,0.08,221.58,0.00,0.00,0.14,1.971,0.007,0.014
20.042,481,221.64,0.08,221.58,0.00,0.00,0.14,11.971,0.007,0.014
20.250,486,221.59,0.08,221.54,0.00,0.00,0.12,1.971,0.007,0.014
20.667,496,221.51,0.08,221.44,0.00,0.00,0.14,11.968,0.007,0.014
20.875,501,221.51,0.08,221.44,0.00,0.00,0.14,1.968,0.007,0.014
21.083,506,221.598,0.08,221.28,0.00,0.00,0.14,11.966,0.007,0.014
21.292,511,221.59,0.08,221.73,0.00,0.00,0.14,11.984,0.007,0.014
21.500,516,221.59,0.08,221.73,0.00,0.00,0.14,1.984,0.007,0.014
21.708,521,221.58,0.08,221.50,0.00,0.00,0.11,11.970,0.007,0.015
21.917,526,221.58,0.08,221.50,0.00,0.00,0.11,1.970,0.007,0.015
22.125,531,221.90,0.08,221.83,0.00,0.00,359.88,1.986,0.007,0.014
22.333,536,221.90,0.08,221.83,0.00,0.00,359.88,1.984,0.007,0.014
22.542,541,221.90,0.08,221.83,0.00,0.00,359.88,11.984,0.007,0.014
22.750,546,221.96,0.08,221.91,0.00,0.00,0.07,11.987,0.007,0.015
22.958,551,221.96,0.08,221.91,0.00,0.00,0.07,1.987,0.007,0.015
23.167,556,221.87,0.08,221.82,0.00,0.00,359.88,1.986,0.007,0.015
23.375,561,221.87,0.08,221.82,0.00,0.00,359.88,.986,0.007,0.015
23.583,566,221.87,0.08,221.82,0.00,0.00,359.88,1.986,0.007,0.015
23.792,571,221.72,0.08,221.65,0.00,0.00,559.96,11.976,0.007,0.014
24.000,576,221.72,0.08,221.65,0.00,0.00,359.96,11.976,0.007,0.014
